Test Name,Status,Config Pass Count,Config Fail Count,Test Pass Count,Test Fail Count,Test Skip Count,
com.agilysys.qa.gridIron.service.account.TestReservationRoutingRuleAndTransfer.beforeSuite,CONFIG PASS,1,0,0,0,0,
com.agilysys.qa.gridIron.features.TestReservationBookingNotice.beforeClass,CONFIG FAIL,1,1,0,0,0,
com.agilysys.qa.gridIron.features.TestLostAndFoundSettings.beforeClass,CONFIG FAIL,1,2,0,0,0,
com.agilysys.qa.gridIron.features.TestReservationBookingNotice.testCreateNoticeAndUpdateNotice,TEST SKIPPED,1,2,0,0,1,
com.agilysys.qa.gridIron.features.TestLostAndFoundSettings.testCreateLocationAndUpdateLocation,TEST SKIPPED,1,2,0,0,2,
com.agilysys.qa.gridIron.features.TestReservationBookingNotice.wrapperAfterMethod,CONFIG PASS,2,2,0,0,2,
com.agilysys.qa.gridIron.features.TestLostAndFoundSettings.wrapperAfterMethod,CONFIG PASS,3,2,0,0,2,
com.agilysys.qa.gridIron.features.TestReservationBookingNotice.defaultAfterClass,CONFIG PASS,4,2,0,0,2,
com.agilysys.qa.gridIron.features.TestLostAndFoundSettings.testCreateTypeAndUpdateType,TEST SKIPPED,4,2,0,0,3,
com.agilysys.qa.gridIron.features.TestLostAndFoundSettings.wrapperAfterMethod,CONFIG PASS,5,2,0,0,3,
com.agilysys.qa.gridIron.features.TestLostAndFoundSettings.defaultAfterClass,CONFIG PASS,6,2,0,0,3,
com.agilysys.qa.gridIron.service.rate.TestCreateRatePlans.beforeClass,CONFIG FAIL,6,3,0,0,3,
com.agilysys.qa.gridIron.service.rate.TestCreateRatePlans.testCreatePackageRatePlan,TEST SKIPPED,6,3,0,0,4,
com.agilysys.qa.gridIron.service.rate.TestCreateRatePlans.wrapperAfterMethod,CONFIG PASS,7,3,0,0,4,
com.agilysys.qa.gridIron.service.rate.TestCreateRatePlans.testRatePlanCreate,TEST SKIPPED,7,3,0,0,5,
com.agilysys.qa.gridIron.service.rate.TestCreateRatePlans.wrapperAfterMethod,CONFIG PASS,8,3,0,0,5,
com.agilysys.qa.gridIron.service.rate.TestCreateRatePlans.defaultAfterClass,CONFIG PASS,9,3,0,0,5,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.beforeClass,CONFIG FAIL,9,4,0,0,5,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.testCreateDefiniteGroup,TEST SKIPPED,9,4,0,0,6,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.wrapperAfterMethod,CONFIG PASS,10,4,0,0,6,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.testCreateInquiryGroup,TEST SKIPPED,10,4,0,0,7,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.wrapperAfterMethod,CONFIG PASS,11,4,0,0,7,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.testCreateProspectGroup,TEST SKIPPED,11,4,0,0,8,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.wrapperAfterMethod,CONFIG PASS,12,4,0,0,8,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.testCreateTentativeGroup,TEST SKIPPED,12,4,0,0,9,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.wrapperAfterMethod,CONFIG PASS,13,4,0,0,9,
com.agilysys.qa.gridIron.service.profile.TestCreateGroups.defaultAfterClass,CONFIG PASS,14,4,0,0,9,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.beforeClass,CONFIG FAIL,14,5,0,0,9,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.testCreateReservationWithAutoCreate,TEST SKIPPED,14,5,0,0,10,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.wrapperAfterMethod,CONFIG PASS,15,5,0,0,10,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.testCreateReservationWithCreateButton,TEST SKIPPED,15,5,0,0,11,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.wrapperAfterMethod,CONFIG PASS,16,5,0,0,11,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.testCreateReservationWithMakeButton,TEST SKIPPED,16,5,0,0,12,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.wrapperAfterMethod,CONFIG PASS,17,5,0,0,12,
com.agilysys.qa.gridIron.service.group.TestGroupReservations.defaultAfterClass,CONFIG PASS,18,5,0,0,12,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.beforeClass,CONFIG FAIL,18,6,0,0,12,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.testAddCharge,TEST SKIPPED,18,6,0,0,13,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.wrapperAfterMethod,CONFIG PASS,19,6,0,0,13,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.testAddChargeForFutureDatedGroup,TEST SKIPPED,19,6,0,0,14,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.wrapperAfterMethod,CONFIG PASS,20,6,0,0,14,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.testAddCredit,TEST SKIPPED,20,6,0,0,15,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.wrapperAfterMethod,CONFIG PASS,21,6,0,0,15,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.testMakePayment,TEST SKIPPED,21,6,0,0,16,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.wrapperAfterMethod,CONFIG PASS,22,6,0,0,16,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.testTransfer,TEST SKIPPED,22,6,0,0,17,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.wrapperAfterMethod,CONFIG PASS,23,6,0,0,17,
com.agilysys.qa.gridIron.service.account.TestGroupFolios.defaultAfterClass,CONFIG PASS,24,6,0,0,17,
com.agilysys.qa.gridIron.service.account.TestARFolios.beforeClass,CONFIG FAIL,24,7,0,0,17,
com.agilysys.qa.gridIron.service.account.TestARFolios.testAddCharge,TEST SKIPPED,24,7,0,0,18,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,25,7,0,0,18,
com.agilysys.qa.gridIron.service.account.TestARFolios.testAddCredit,TEST SKIPPED,25,7,0,0,19,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,26,7,0,0,19,
com.agilysys.qa.gridIron.service.account.TestARFolios.testCreateProfileWithAR,TEST SKIPPED,26,7,0,0,20,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,27,7,0,0,20,
com.agilysys.qa.gridIron.service.account.TestARFolios.testMakePayment,TEST SKIPPED,27,7,0,0,21,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,28,7,0,0,21,
com.agilysys.qa.gridIron.service.account.TestARFolios.testTransfer,TEST SKIPPED,28,7,0,0,22,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,29,7,0,0,22,
com.agilysys.qa.gridIron.service.account.TestARFolios.defaultAfterClass,CONFIG PASS,30,7,0,0,22,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.beforeClass,CONFIG FAIL,30,8,0,0,22,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testAddCharge,TEST SKIPPED,30,8,0,0,23,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.wrapperAfterMethod,CONFIG PASS,31,8,0,0,23,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testAddCredit,TEST SKIPPED,31,8,0,0,24,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.wrapperAfterMethod,CONFIG PASS,32,8,0,0,24,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testCreateHouseAccount,TEST SKIPPED,32,8,0,0,25,
